shopid,username_toko,lokasi_toko,itemid,produk,stok,terjual,histori_terjual,brand,jml_like,harga,harga_min,harga_max,harga_min_sebelum_disc,harga_max_sebelum_disc,diskon,url_produk
358177854,cvarifsport,KOTA SURAKARTA (SOLO),10120828803,Sepatu  Bola Specs Elevation Zero Fg Plasma Red White Original 100%,20,24,113,,42,263000.0,263000.0,263000.0,329800.0,329800.0,20%,https://shopee.co.id/Sepatu--Bola-Specs-Elevation-Zero-Fg-Plasma-Red-White-Original-100%-i.358177854.10120828803
383476554,grosir_tas_official,KAB. BANJARNEGARA,10574821417,tas sepatu futsal terlaris 10l REAL PICK!!! | HUNTER,528,25,546,,13,18500.0,18500.0,18999.0,18500.0,23000.0,17%,https://shopee.co.id/tas-sepatu-futsal-terlaris-10l-REAL-PICK!!!--HUNTER-i.383476554.10574821417
195301809,selikursport,KAB. BLORA,8744028396,KARTU WASIT SEPAKBOLA FUTSAL,6,25,134,,15,9900.0,9900.0,9900.0,0,0,,https://shopee.co.id/KARTU-WASIT-SEPAKBOLA-FUTSAL-i.195301809.8744028396
448968248,lokalsports.id,KOTA SURAKARTA (SOLO),11957902665,Sepatu Bola Ortuseight Catalyst Cure FG - Ortuseight Catalyst Requin FG - Sepatu Futsal Catalyst Requin IN -  100% Original,18,24,35,,22,499000.0,499000.0,599000.0,0,0,,https://shopee.co.id/Sepatu-Bola-Ortuseight-Catalyst-Cure-FG---Ortuseight-Catalyst-Requin-FG---Sepatu-Futsal-Catalyst-Requin-IN----100%-Original-i.448968248.11957902665
478222754,tokoarifsolo,KOTA SURAKARTA (SOLO),16837237610,BEST SELLER Sepatu Futsal Specs Lightspeed 3 IN - Specs LS 3 IN Fractal Pack - META BLACK PURPLE - META CRUSH PACK - ARIFSPORTS SOLO /BISA COD,174,25,34,,33,460000.0,460000.0,478000.0,0,0,,https://shopee.co.id/BEST-SELLER-Sepatu-Futsal-Specs-Lightspeed-3-IN---Specs-LS-3-IN-Fractal-Pack---META-BLACK-PURPLE---META-CRUSH-PACK---ARIFSPORTS-SOLO--BISA-COD-i.478222754.16837237610
26161340,yusufyoni,KAB. SRAGEN,345244597,Sepatu Futsal XX TF Bricada Ultra Ultima Pria Cowok Nyaman Terjangkau Paket Komplit Olahraga,499127,24,15321,,445,99000.0,99000.0,135000.0,0,0,,https://shopee.co.id/Sepatu-Futsal-XX-TF-Bricada-Ultra-Ultima-Pria-Cowok-Nyaman-Terjangkau-Paket-Komplit-Olahraga-i.26161340.345244597
32368806,queensport03,KAB. SRAGEN,554807213,Sepatu futsal ortuseight ortus catalyst cypher jogosala bbs bonus tas serut,39931,24,22212,,7336,89000.0,89000.0,99000.0,0,0,,https://shopee.co.id/Sepatu-futsal-ortuseight-ortus-catalyst-cypher-jogosala-bbs-bonus-tas-serut-i.32368806.554807213
11073748,pgssport,KOTA SURAKARTA (SOLO),6878672918,[MASIH PROMO] PAKET KOMPLIT 5 Termurah Sepatu Futsal Kwalitas Istimewa,215,24,487,,145,59999.0,59999.0,124999.0,0,0,,https://shopee.co.id/[MASIH-PROMO]-PAKET-KOMPLIT-5-Termurah-Sepatu-Futsal-Kwalitas-Istimewa-i.11073748.6878672918
32439403,ngagembatikan,KOTA SURAKARTA (SOLO),3205759296,Kaos Kaki + Deker + Tas Sepatu Bola & Futsal ( Tas Kaos kaki Skin deker),700,26,762,Tidak Ada Merek,114,17900.0,17900.0,35100.0,0,0,,https://shopee.co.id/Kaos-Kaki-+-Deker-+-Tas-Sepatu-Bola-&-Futsal-(-Tas-Kaos-kaki-Skin-deker)-i.32439403.3205759296
14284898,jaisastore,KOTA SURAKARTA (SOLO),3126695701,Sepatu futsal Anak Komplit size 28 29 30 31 32 33 34 35 36 37,4468,24,722,,142,64400.0,64400.0,159000.0,0,0,,https://shopee.co.id/Sepatu-futsal-Anak-Komplit-size-28-29-30-31-32-33-34-35-36-37-i.14284898.3126695701
30985450,wahyuds354,KAB. BOYOLALI,453388620,Termurah Paket komplit sepatu futsal anak bonus bola dan jearsey,1005,22,251,Tidak Ada Merek,165,165000.0,165000.0,165000.0,0,0,,https://shopee.co.id/Termurah-Paket-komplit-sepatu-futsal-anak-bonus-bola-dan-jearsey-i.30985450.453388620
204121381,choirulloh_store,KOTA SURAKARTA (SOLO),13246993209,SEPATU FUTSAL ORTUS BBS JOGOSALA PAKET KOMPLIT TERBARUU!!,1925,24,68,,35,69000.0,69000.0,137750.0,100000.0,160000.0,31%,https://shopee.co.id/SEPATU-FUTSAL-ORTUS-BBS-JOGOSALA-PAKET-KOMPLIT-TERBARUU!!-i.204121381.13246993209
284385784,glory_sport01,KOTA SURAKARTA (SOLO),5580093567,Sepatu Futsal Ortuseight Zenith In,5,22,78,,54,254000.0,254000.0,254000.0,0,0,,https://shopee.co.id/Sepatu-Futsal-Ortuseight-Zenith-In-i.284385784.5580093567
710455786,arfathstore.semarang,KOTA SEMARANG,17168870488,Sepatu futsal ortuseight CATALYST REVENGE IN,12,24,32,,8,335400.0,335400.0,396600.0,0,0,,https://shopee.co.id/Sepatu-futsal-ortuseight-CATALYST-REVENGE-IN-i.710455786.17168870488
719279773,hk_bag,KAB. PEKALONGAN,11389996027,tas ransel mini sepatu olahraga futsal sepak bola murah,49903,24,84,,13,12960.0,12960.0,33480.0,17999.0,35999.0,42%,https://shopee.co.id/tas-ransel-mini-sepatu-olahraga-futsal-sepak-bola-murah-i.719279773.11389996027
21305423,real_sport99,KOTA SURAKARTA (SOLO),854344189,( BAYAR DI TEMPAT ) Sepatu Futsal Adidas Bahan KULIT Asli,268,23,795,,379,85000.0,85000.0,110000.0,95000.0,125000.0,14%,https://shopee.co.id/(-BAYAR-DI-TEMPAT-)-Sepatu-Futsal-Adidas-Bahan-KULIT-Asli-i.21305423.854344189
358177854,cvarifsport,KOTA SURAKARTA (SOLO),6174581095,Sepatu Bola Specs Hyperchaos FG 100% Original,397,23,133,Specs,85,399000.0,399000.0,399000.0,0,0,,https://shopee.co.id/Sepatu-Bola-Specs-Hyperchaos-FG-100%-Original-i.358177854.6174581095
284385784,glory_sport01,KOTA SURAKARTA (SOLO),7886723187,Sepatu Futsal Specs Lightspeed 3 IN - Accelerator Alpha Pro IN Original Obral,41,24,79,Specs,64,459000.0,459000.0,459000.0,0,0,,https://shopee.co.id/Sepatu-Futsal-Specs-Lightspeed-3-IN---Accelerator-Alpha-Pro-IN-Original-Obral-i.284385784.7886723187
