shopid,username_toko,lokasi_toko,itemid,produk,stok,terjual,histori_terjual,brand,jml_like,harga,harga_min,harga_max,harga_min_sebelum_disc,harga_max_sebelum_disc,diskon,url_produk
16545975,craft_loverz,,5435369687,LITTLE JASMINE MINI DECO Bahan Hias Tasbih Digital Aksesoris Tasbih Blink Handmade DIY,1,0,10,Tidak Ada Merek,1,9000.0,9000.0,9000.0,0,0,,https://shopee.co.id/LITTLE-JASMINE-MINI-DECO-Bahan-Hias-Tasbih-Digital-Aksesoris-Tasbih-Blink-Handmade-DIY-i.16545975.5435369687
76034616,bidarabukoll,KAB. BULELENG,4207411841,Tasbih kayu bidara ruqyah original,89,1,11,Tidak Ada Merek,7,70000.0,70000.0,70000.0,0,0,,https://shopee.co.id/Tasbih-kayu-bidara-ruqyah-original-i.76034616.4207411841
16545975,craft_loverz,KAB. TABANAN,9929700072,10pcs LITTLE COLOUR VINCA RESIN Ukuran Mini Bahan Hias Tasbih Blink Nail Art Kuku Palsu Handmade DIY,4,1,16,Tidak Ada Merek,3,6000.0,6000.0,6000.0,0,0,,https://shopee.co.id/10pcs-LITTLE-COLOUR-VINCA-RESIN-Ukuran-Mini-Bahan-Hias-Tasbih-Blink-Nail-Art-Kuku-Palsu-Handmade-DIY-i.16545975.9929700072
16545975,craft_loverz,KAB. TABANAN,7841903726,MINI KEPIK ACRYLIC Ladybug Hiasan Tasbih Blink Bahan Craft Resin Handmade DIY,4,1,13,Tidak Ada Merek,7,9000.0,9000.0,9000.0,0,0,,https://shopee.co.id/MINI-KEPIK-ACRYLIC-Ladybug-Hiasan-Tasbih-Blink-Bahan-Craft-Resin-Handmade-DIY-i.16545975.7841903726
76034616,bidarabukoll,KAB. BULELENG,7634978581,tasbih bidara arab super 99,95,0,5,Tidak Ada Merek,1,111000.0,111000.0,111000.0,0,0,,https://shopee.co.id/tasbih-bidara-arab-super-99-i.76034616.7634978581
227809177,tasbiheart,KAB. TABANAN,5017254855,TASBIH DIGITAL SWAROVSKI TASBIH BLING BASIC SERIES,333,1,25,Tidak Ada Merek,7,21900.0,21900.0,21900.0,0,0,,https://shopee.co.id/TASBIH-DIGITAL-SWAROVSKI-TASBIH-BLING-BASIC-SERIES-i.227809177.5017254855
135620961,kripaacc,KAB. BADUNG,11400820501,JAPA/TASBIH GENITRI RUDRAKSA ORIGINAL NATURAL,19,1,20,,1,13600.0,13600.0,15200.0,17000.0,19000.0,20%,https://shopee.co.id/JAPA-TASBIH-GENITRI-RUDRAKSA-ORIGINAL-NATURAL-i.135620961.11400820501
266352421,manobymanohara,KOTA DENPASAR,11152894092,Tasbih 33 Butir Kristal Pastel Series PROMO BUY 2 GET 1 FREE,70,0,10,,4,25000.0,25000.0,25000.0,0,0,,https://shopee.co.id/Tasbih-33-Butir-Kristal-Pastel-Series-PROMO-BUY-2-GET-1-FREE-i.266352421.11152894092
16545975,craft_loverz,KAB. TABANAN,7695225328,25pcs MINI BLOOM FLOWER PEARL Ukuran Mini Bahan Hias Tasbih Nail Art Blink Bahan Craft Handmade DIY,37,1,16,,2,12500.0,12500.0,12500.0,0,0,,https://shopee.co.id/25pcs-MINI-BLOOM-FLOWER-PEARL-Ukuran-Mini-Bahan-Hias-Tasbih-Nail-Art-Blink-Bahan-Craft-Handmade-DIY-i.16545975.7695225328
242802202,dewata_handycraft,KOTA DENPASAR,6825685781,Tasbih 108 Tanduk Kerbau Bule Bening 8 mm,86,0,14,Tidak Ada Merek,8,125000.0,125000.0,125000.0,0,0,,https://shopee.co.id/Tasbih-108-Tanduk-Kerbau-Bule-Bening-8-mm-i.242802202.6825685781
4489515,ljpassion,KOTA DENPASAR,2651656266,Tasbih 33 Butir Batu Lava 6mm Tassel Hitam,10,0,7,LJ Passion,10,60000.0,60000.0,60000.0,0,0,,https://shopee.co.id/Tasbih-33-Butir-Batu-Lava-6mm-Tassel-Hitam-i.4489515.2651656266
